@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/wipiodeicat1996/dictionary-19-150.html
@source_title: Diccionario Aguaruna ~ Castellano
@source_author: Wipio Deicat, Gerardo
@source_year: 1996
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
wipiodeicat1996/20/22	adúkat	Aguaruna	hacer lamer	Castellano	v.
wipiodeicat1996/20/22	adúkit	Aguaruna	hacer lamer	Castellano	v.
wipiodeicat1996/20/23	aéhaet	Aguaruna	medianoche	Castellano	s.
wipiodeicat1996/20/23	aéhaet	Aguaruna	12 p.m	Castellano	s.
wipiodeicat1996/20/24	aénts	Aguaruna	persona	Castellano	s.
wipiodeicat1996/20/24	aénts	Aguaruna	gente	Castellano	s.
wipiodeicat1996/20/24	aénts	Aguaruna	hombre	Castellano	s.
wipiodeicat1996/20/25	aéntset	Aguaruna	hacer cargar en la espalda de otro	Castellano	v.
wipiodeicat1996/20/25	aéntset	Aguaruna	poner carga en la espalda de otro	Castellano	v.
wipiodeicat1996/20/25	aéntsat	Aguaruna	hacer cargar en la espalda de otro	Castellano	v.
wipiodeicat1996/20/25	aéntsat	Aguaruna	poner carga en la espalda de otro	Castellano	v.
wipiodeicat1996/20/26	aéntsji	Aguaruna	humor	Castellano	s.
wipiodeicat1996/20/26	aéntsji	Aguaruna	carácter	Castellano	s.
wipiodeicat1996/20/26	aéntsji	Aguaruna	imagen	Castellano	s.
wipiodeicat1996/20/27	aentsmágat	Aguaruna	aparecer en forma de persona	Castellano	v.
wipiodeicat1996/20/27	aentsmágat	Aguaruna	transformarse en persona	Castellano	v.
wipiodeicat1996/20/27	aentsmágat	Aguaruna	desarrollarse como persona	Castellano	v.
wipiodeicat1996/20/27	aentsmágat	Aguaruna	considerar como extraño	Castellano	v.
wipiodeicat1996/20/27	aentsmágat	Aguaruna	crecer	Castellano	v.
wipiodeicat1996/20/28	aentsmágau	Aguaruna	persona desarrollada	Castellano	s.
wipiodeicat1996/20/28	aentsmágau	Aguaruna	animal transformado en persona (mitología)	Castellano	s.
wipiodeicat1996/20/29	aentsmása	Aguaruna	trato digno	Castellano	s.
wipiodeicat1996/20/29	aentsmása	Aguaruna	trato indiferente	Castellano	s.
wipiodeicat1996/20/30	aéntsmat	Aguaruna	considerar extraño a un familiar	Castellano	v.
wipiodeicat1996/20/30	aéntsmat	Aguaruna	adoptar (a un niño)	Castellano	v.
wipiodeicat1996/20/31	aentstín	Aguaruna	humanidad	Castellano	s.
wipiodeicat1996/20/31	aentstín	Aguaruna	seres humanos	Castellano	s.
wipiodeicat1996/20/32	aepámu	Aguaruna	cosa sumergida o hundida	Castellano	s.|adj.
wipiodeicat1996/20/32	aepámu	Aguaruna	hundido	Castellano	s.|adj.
wipiodeicat1996/20/33	aepét	Aguaruna	poner bulto en el suelo	Castellano	v.
wipiodeicat1996/20/33	aepét	Aguaruna	hacer sumergir una cosa dentro del agua	Castellano	v.
wipiodeicat1996/20/33	aepát	Aguaruna	poner bulto en el suelo	Castellano	v.
wipiodeicat1996/20/33	aepát	Aguaruna	hacer sumergir una cosa dentro del agua	Castellano	v.
wipiodeicat1996/20/34	aéset	Aguaruna	quemar	Castellano	v.
wipiodeicat1996/20/34	aéset	Aguaruna	hacer calmar al que llora	Castellano	v.
wipiodeicat1996/20/34	aéset	Aguaruna	hacer morder al perro	Castellano	v.
